Job_ID,Job_Title,Company,Location,Experience_Years,Education,Employment_Type,Salary_Min_LPA,Salary_Max_LPA,Required_Skills,Soft_Skills,Programming_Languages,Technologies,Industry,Work_Mode,Job_Posting_Date,Candidate_ID,Resume_Skills,Certifications,Target_Role
JOB0001,Data Scientist,Quantix Systems,Noida,2,B.Tech/B.E.,Contract,8.0,9.8,"Python, SQL, Machine Learning, Pandas, NumPy, Statistics, Power BI, Spark","Time Management, Communication, Adaptability","Python, SQL","Excel, AWS, Jenkins",Consulting,Hybrid,2026-04-12,CAND0001,"SQL, NumPy, Pandas, Python, Power BI, Statistics, Machine Learning",AWS Certified,Data Scientist
JOB0002,ML Engineer,CodeCraft India,Chennai,2,Any Graduate,Full-time,8.4,10.2,"Python, Machine Learning, TensorFlow, PyTorch, Docker, SQL, React, Java","Teamwork, Communication, Analytical Thinking","Python, SQL, Java","Azure, Excel, TensorFlow",FinTech,Onsite,2026-05-31,CAND0002,"Docker, React, Python, PyTorch, SQL",None,ML Engineer
JOB0003,Data Engineer,CloudPeak Systems,Gurugram,5,Master's Degree,Contract,9.2,11.8,"Python, SQL, Spark, AWS, Docker, ETL, Jenkins, Git","Collaboration, Leadership, Analytical Thinking","Python, SQL","PyTorch, Jira, Excel",IT Services,Onsite,2026-05-06,CAND0003,"Docker, ETL, Jenkins, Python",None,Data Engineer
JOB0004,Business Analyst,InnoSoft Technologies,Ahmedabad,0,Any Graduate,Contract,5.7,8.9,"Excel, SQL, Power BI, Tableau, Communication, Requirements Analysis, Python, Git","Adaptability, Collaboration, Problem Solving","SQL, Python","Azure, AWS, Spark",Manufacturing,Onsite,2026-03-13,CAND0004,"Tableau, Requirements Analysis, Git, Python, Communication",None,ML Engineer
JOB0005,Data Scientist,DataSphere Analytics,Delhi,6,Master's Degree,Full-time,10.2,11.9,"Python, SQL, Machine Learning, Pandas, NumPy, Statistics, TensorFlow, PyTorch","Critical Thinking, Communication, Analytical Thinking","Python, SQL","Databricks, Jenkins, TensorFlow",Retail,Onsite,2026-06-24,CAND0005,"PyTorch, NumPy, Machine Learning, TensorFlow, Python, Statistics",Azure Fundamentals,Data Scientist
JOB0006,Data Scientist,InnoSoft Technologies,Kolkata,4,Bachelor's Degree,Full-time,8.9,12.7,"Python, SQL, Machine Learning, Pandas, NumPy, Statistics, React, JavaScript","Critical Thinking, Teamwork, Adaptability","Python, SQL, JavaScript","Spark, Excel, AWS",E-Commerce,Remote,2026-01-30,CAND0006,"Python, NumPy, Machine Learning, Pandas, JavaScript, React, SQL",Microsoft Power BI,Data Scientist
JOB0007,Cloud Engineer,DataSphere Analytics,Chennai,4,Bachelor's Degree,Internship,9.0,13.4,"AWS, Azure, Docker, Kubernetes, Linux, Python, React, Spark","Collaboration, Leadership, Time Management",Python,"Azure, Power BI, Tableau",IT Services,Onsite,2026-04-26,CAND0007,"Kubernetes, Python, Docker, Spark, React, Azure, Linux",None,Cloud Engineer
JOB0008,Data Analyst,DataSphere Analytics,Noida,4,BCA/MCA,Contract,6.1,9.1,"Python, SQL, Excel, Power BI, Tableau, Statistics, Jira, Azure","Adaptability, Critical Thinking, Collaboration","Python, SQL","Jenkins, Power BI, Git",FinTech,Onsite,2026-02-18,CAND0008,"Excel, Statistics, Tableau, Jira, Power BI, Python, SQL",Microsoft Power BI,Data Analyst
JOB0009,Business Analyst,Quantix Systems,Mumbai,1,Bachelor's Degree,Full-time,5.6,7.5,"Excel, SQL, Power BI, Tableau, Communication, Requirements Analysis, PyTorch, React","Problem Solving, Adaptability, Leadership",SQL,"Kubernetes, Azure, Docker",IT Services,Onsite,2026-01-26,CAND0009,"Communication, Tableau, SQL, Excel",Microsoft Power BI,Business Analyst
JOB0010,Data Analyst,CodeCraft India,Gurugram,8,Any Graduate,Internship,8.6,11.0,"Python, SQL, Excel, Power BI, Tableau, Statistics, Java, Docker","Problem Solving, Communication, Time Management","Python, SQL, Java","Tableau, Jira, AWS",FinTech,Remote,2026-01-26,CAND0010,"Docker, SQL, Java, Excel, Statistics, Python, Tableau",None,Data Analyst
JOB0011,Software Developer,InnoSoft Technologies,Chennai,8,B.Tech/B.E.,Contract,9.3,12.5,"Java, Python, SQL, Git, REST API, OOP, Jira, Azure","Adaptability, Problem Solving, Analytical Thinking","Java, Python, SQL","Git, TensorFlow, Kubernetes",Banking,Onsite,2026-05-14,CAND0011,"Python, Git, OOP",None,DevOps Engineer
JOB0012,AI Engineer,Quantix Systems,Delhi,4,Bachelor's Degree,Full-time,10.4,12.3,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, Azure, AWS","Time Management, Teamwork, Communication",Python,"Jenkins, Spark, AWS",EdTech,Hybrid,2026-01-05,CAND0012,"Machine Learning, AWS, Deep Learning, NLP, Azure",Azure Fundamentals,AI Engineer
JOB0013,Software Developer,CloudPeak Systems,Delhi,5,B.Tech/B.E.,Internship,8.3,11.3,"Java, Python, SQL, Git, REST API, OOP, Jenkins, Docker","Critical Thinking, Adaptability, Time Management","Java, Python, SQL","Power BI, Tableau, Jira",E-Commerce,Remote,2026-06-20,CAND0013,"Java, Docker, OOP, Git, SQL",None,Software Developer
JOB0014,Business Analyst,Quantix Systems,Noida,1,Any Graduate,Internship,5.3,9.5,"Excel, SQL, Power BI, Tableau, Communication, Requirements Analysis, Docker, Java","Problem Solving, Leadership, Adaptability","SQL, Java","AWS, Excel, Jira",E-Commerce,Hybrid,2026-07-01,CAND0014,"Requirements Analysis, SQL, Java",None,Business Analyst
JOB0015,ML Engineer,InnoSoft Technologies,Hyderabad,8,Master's Degree,Contract,12.1,16.2,"Python, Machine Learning, TensorFlow, PyTorch, Docker, SQL, Jira, Java","Time Management, Leadership, Teamwork","Python, SQL, Java","Power BI, Git, Azure",Consulting,Hybrid,2026-08-29,CAND0015,"Docker, Machine Learning, SQL, Python",AWS Certified,ML Engineer
JOB0016,Data Scientist,AlphaByte Labs,Chennai,5,Master's Degree,Internship,9.7,14.1,"Python, SQL, Machine Learning, Pandas, NumPy, Statistics, Spark, Jenkins","Collaboration, Teamwork, Leadership","Python, SQL","Databricks, React, Azure",EdTech,Onsite,2026-08-11,CAND0016,"Statistics, Python, Spark, Machine Learning, SQL, NumPy, Pandas",IBM Data Science,Data Scientist
JOB0017,Data Engineer,NextGen Digital,Ahmedabad,8,BCA/MCA,Internship,10.8,14.5,"Python, SQL, Spark, AWS, Docker, ETL, Power BI, Jenkins","Adaptability, Analytical Thinking, Leadership","Python, SQL","Jenkins, TensorFlow, Spark",E-Commerce,Onsite,2026-03-05,CAND0017,"ETL, AWS, Python, Spark",Microsoft Power BI,DevOps Engineer
JOB0018,Data Engineer,InnoSoft Technologies,Ahmedabad,4,Master's Degree,Internship,8.8,12.8,"Python, SQL, Spark, AWS, Docker, ETL, Kubernetes, Excel","Problem Solving, Teamwork, Collaboration","Python, SQL","Spark, Git, Jira",Telecom,Hybrid,2026-08-15,CAND0018,"Docker, SQL, AWS, Excel, Spark",None,AI Engineer
JOB0019,Software Developer,InnoSoft Technologies,Bengaluru,6,Bachelor's Degree,Full-time,7.8,9.4,"Java, Python, SQL, Git, REST API, OOP, React, Kubernetes","Adaptability, Leadership, Teamwork","Java, Python, SQL","Excel, Jenkins, Spark",Manufacturing,Onsite,2026-07-24,CAND0019,"Python, Git, React, REST API, Kubernetes, SQL",Azure Fundamentals,Data Engineer
JOB0020,Software Developer,NextGen Digital,Hyderabad,1,BCA/MCA,Internship,6.0,9.1,"Java, Python, SQL, Git, REST API, OOP, Azure, JavaScript","Critical Thinking, Leadership, Problem Solving","Java, Python, SQL, JavaScript","Kubernetes, Tableau, Jenkins",EdTech,Onsite,2026-08-19,CAND0020,"OOP, Azure, Git, REST API, JavaScript, SQL, Python",AWS Certified,ML Engineer
JOB0021,Business Analyst,TechNova Solutions,Hyderabad,1,Master's Degree,Contract,5.2,8.8,"Excel, SQL, Power BI, Tableau, Communication, Requirements Analysis, Jira, TensorFlow","Communication, Adaptability, Leadership",SQL,"Power BI, PyTorch, TensorFlow",Consulting,Hybrid,2026-08-01,CAND0021,"SQL, Tableau, Jira, Power BI",Azure Fundamentals,Cloud Engineer
JOB0022,Cloud Engineer,CodeCraft India,Kolkata,2,Bachelor's Degree,Full-time,7.9,9.5,"AWS, Azure, Docker, Kubernetes, Linux, Python, Jenkins, C++","Adaptability, Problem Solving, Collaboration","Python, C++","Kubernetes, AWS, Power BI",EdTech,Hybrid,2026-07-21,CAND0022,"Jenkins, Python, Azure, Kubernetes, C++",AWS Certified,Cloud Engineer
JOB0023,Software Developer,InnoSoft Technologies,Pune,2,Bachelor's Degree,Full-time,7.0,9.3,"Java, Python, SQL, Git, REST API, OOP, JavaScript, Jenkins","Leadership, Collaboration, Adaptability","Java, Python, SQL, JavaScript","Power BI, React, AWS",Healthcare,Onsite,2026-06-29,CAND0023,"REST API, JavaScript, Java, Git, OOP, SQL",Microsoft Power BI,Software Developer
JOB0024,Data Scientist,InnoSoft Technologies,Pune,3,Any Graduate,Internship,8.6,11.2,"Python, SQL, Machine Learning, Pandas, NumPy, Statistics, C++, Docker","Leadership, Teamwork, Analytical Thinking","Python, SQL, C++","Excel, TensorFlow, Git",Telecom,Onsite,2026-07-23,CAND0024,"SQL, C++, Docker, Machine Learning, Python, NumPy, Pandas",Azure Fundamentals,Web Developer
